Vendor Name,Last 12 months Cost (USD)
Salesforce Uk Ltd-Uk,"$3,117,226"
Navan (Tripactions Inc),"$357,984"
Bdo Llp,"$343,081"
Tog Uk Properties Limited,"$263,821"
Cloudcrossing Bvba,"$208,675"
Zagrebtower D.O.O.,"$183,754"
Innovent Spaces Private Limited,"$147,348"
Weking D.O.O.,"$144,093"
Jensten Insurance Brokers,"$142,700"
Gpt Space & Co,"$133,507"
Aetna Life And Casualty Ltd,"$124,661"
Rsm Uk Corporate Finance Llp,"$117,078"
Amazon Web Services Llc,"$106,399"
Telefonica Global Services Gmbh,"$89,880"
Hr Solution International Gmbh,"$80,823"
4I Advisory Services,"$71,860"
Bisley Law Ltd,"$67,414"
Infosys,"$66,570"
Big Frontier Pty Ltd (Cult Of Monday),"$66,131"
Harmonic Group Limited,"$65,418"
Wework Singapore Pte. Ltd.,"$64,373"
Cloud Technology Solutions Ltd,"$60,661"
Navan, Inc,"$57,929"
Tmforum,"$57,560"
Linkedin Ireland Limited,"$55,573"
Kimble Applications Ltd,"$52,825"
Sage Uk Limited,"$46,895"
Grant Thornton,"$46,539"
SveuäIliå¡Te U Zagrebu Studentski Centar,"$44,299"
Ss&C Intralinks Inc,"$39,966"
Veniture D.O.O.,"$39,342"
Accutrainee Limited,"$38,841"
Mason Frank International Ltd,"$38,148"
Houlihan Lokey Advisors Llc,"$37,461"
Vector Capital Management Lp,"$32,427"
Hubspot Ireland Limited,"$32,187"
Nefron - Obrt Za Poslovne Usluge,"$30,614"
Planful, Inc.,"$27,741"
Cognism Limited,"$27,013"
Uberflip,"$26,091"
Agram Life Osiguranje D.O.O.,"$24,952"
Google Ireland Limited,"$24,798"
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,"$24,135"
Care Health Insurance Company Limited,"$24,045"
New Star Networks(Nsn),"$23,887"
Bupa- Supplier,"$22,800"
Shree Info System Solutions Pvt Ltd,"$22,275"
Technet It Recruitment,"$21,952"
Mightyhive Ltd,"$19,042"
Cedar Recruitment Ltd,"$18,537"
Eurofast International Ltd-Greec,"$18,164"
